date,tweet_count,neg,neu,pos,nlp_tweet_count,not_polarized,polarized,anger,disgust,fear,joy,neutral,sadness,surprise,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness,tesla,tsla,stock,market,price,profit,loss,revenue,inflation,interest,bitcoin,dogecoin,crypto,ethereum,spacex,model,cybertruck,starship,buy,sell,arts_&_culture,business_&_entrepreneurs,celebrity_&_pop_culture,diaries_&_daily_life,family,fashion_&_style,film_tv_&_video,fitness_&_health,food_&_dining,gaming,learning_&_educational,music,news_&_social_concern,other_hobbies,relationships,science_&_technology,sports,travel_&_adventure,youth_&_student_life
2015-01-30,0.0126582278481012,0.007533139,0.8626493,0.12981755,0.0078125,1.0,0.0,0.004777012,0.0019285334,0.0017111739,0.005013803,0.88297695,0.0033395386,0.10025294,0.5095067,0.53910476,0.44985867,0.32289645,0.5303137,,,,,,,,,,,,,,,,,,,,,0.010765882,0.010201311,0.0033797196,0.6536411,0.0032640486,0.001672872,0.011554,0.0023371405,0.0019164439,0.0021355809,0.021979203,0.0019729866,0.022061206,0.04682897,0.006034409,0.05202549,0.003748551,0.1373994,0.0070816465
2015-01-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-08,0.0379746835443038,0.23876183,0.5227394,0.23849879,0.0390625,0.8333333333333334,0.1666666666666666,0.011583966,0.013364538,0.061591763,0.04185315,0.514526,0.2729933,0.08408731,0.49467513,0.5336794,0.46514428,0.31283072,0.4959502,,,,,,,,,,,,,,,,,,,,,0.001733203,0.0058959103,0.0032788722,0.0024922313,0.0005089854,0.00043610227,0.17490645,0.0009398447,0.0006300381,0.0017843578,0.0053751967,0.0014229243,0.1192015,0.0020772247,0.000520199,0.6721391,0.0014501143,0.0035398111,0.0016678883
